형태소,빈도수
카페,437
커피,320
너무,280
땅콩,190
아이스크림,169
정말,163
분위기,159
라떼,146
바다,141
방문,139
케이크,127
음료,125
사진,122
느낌,121
그냥,109
크림,108
메뉴,105
추천,103
가격,94
공간,89
진짜,88
ㅎㅎ,86
주문,84
인테리어,81
망고,77
우도,73
먹어,70
사장,67
녹차,67
ㅠㅠ,65
카레,63
한라봉,61
디저트,59
별로,58
케익,56
가게,55
같은,55
여행,55
위치,54
맛집,54
아메리카노,54
자리,53
맛있다,52
당근,52
밀크,52
맛있어요,50
우유,49
근처,48
예쁜,47
달달,47
좋아요,45
맛있었어요,44
엄청,44
맛있었다,43
맛있고,42
아주,42
치즈,42
티라미수,41
좋았어요,40
주스,40
최고,38
아이스,38
매우,37
맛있는,37
유명한,36
이름,36
ㅋㅋ,36
친구,36
인스타,35
해변,34
좋다,34
있어요,34
풍경,34
브라우니,34
맛있게,33
테이블,33
살짝,33
무난,33
좋았다,33
기분,32
가장,32
내부,32
좋아하는,32
감성,31
먹었는데,31
가서,31
토스트,31
기대,30
취향,30
ㅋㅋㅋ,30
도넛,30
직원,29
종류,29
기억,29
제일,28
바닐라,28
딸기,28
처음,27
굉장히,27
찍기,27
합니다,27
음식,27
개인,27
뭔가,26
계속,26
손님,25
먹으면,25
마음,25
스무디,25
말차,25
초코,25
소품,25
생크림,25
인기,24
편이,24
가는,24
맛있어서,24
먹는,24
서울,24
에그타르트,24
주변,23
베이커리,23
오설록,23
과일,23
날씨,23
여기는,22
없어서,22
주차,22
포토,22
많은,22
나쁘지,22
않은,22
주차장,21
완전,21
인생,21
브런치,21
빙수,21
목장,21
판매,21
경치,21
음악,20
작은,20
비주,20
리뷰,20
먹기,20
요거트,20
워낙,19
창가,19
고소한,19
에스프레소,19
산미,19
오메,19
스콘,19
맛있음,19
정리,18
튀김,18
새우,18
마지막,18
선택,18
까페,18
여유,18
구매,18
전체,17
견과류,17
얼그레이,17
매력,17
예쁘고,17
부분,17
아침,17
있었다,17
적당히,17
녹차아이스크림,17
부드러운,17
중간,17
조화,17
건물,17
있게,17
구경,17
운영,17
시트,17
ㅜㅜ,16
느낄,16
그렇게,16
조용하고,16
바삭,16
맛있었습니다,16
상큼,16
추가,16
특히,16
테이크아웃,16
괜찮은,16
입맛,16
아니고,16
얼음,16
홍차,16
다방,16
천원,15
포장,15
의자,15
먹은,15
레몬,15
아무,15
보면서,15
그니,15
만든,15
원두,15
서비스,15
넓고,15
않아,15
마을,15
웨이팅,15
자몽,15
서귀포,15
오픈,15
무화과,15
시금치,15
동네,14
일찍,14
예뻐서,14
힐링,14
조합,14
의사,14
맛있었고,14
거기,14
사이,14
해도,14
된다,14
라서,14
단맛,14
나름,14
숙소,14
했지만,14
원래,14
클라우드,14
고소하고,14
비엔나,14
야외,14
애플,14
드는,14
박물관,14
있지만,13
앉아,13
좋아서,13
좌석,13
팬케이크,13
여긴,13
점수,13
상당히,13
시내,13
존맛,13
진한,13
같은데,13
이미,13
달아서,13
식감,13
라면,13
ㅋㅋㅋㅋ,13
ㅎㅎㅎ,13
감귤,13
매장,13
ㅠㅠㅠ,13
사과,13
산장,13
신부,13
오는,13
니당,13
드립,13
타르트,13
다쿠아즈,13
비싼,12
예쁘게,12
스팟,12
특별한,12
보며,12
맛있습니다,12
느껴지는,12
피쉬앤칩스,12
먹었어요,12
세트,12
없다,12
않았어요,12
인상,12
였다,12
제대로,12
앉아서,12
왔다,12
인가,12
화이트,12
진하고,12
하시는,12
깔끔하고,12
수도,12
먹었다,12
그리,12
맛있어,12
좋았던,12
과자,12
따뜻한,12
있어,12
민트,12
가루,12
전복,12
미엘,12
미스,12
난다,11
많아,11
들었다,11
가고,11
솔직히,11
고민,11
일반,11
바람,11
버터,11
표현,11
평점,11
좋았습니다,11
신경,11
먹어도,11
께서,11
좋았음,11
달콤한,11
주인,11
좋아하는데,11
저녁,11
대신,11
정신,11
도렐,11
비슷한,11
앉을,11
해야,11
가야,11
파는,11
프레,11
없을,11
야채,11
유자,11
쉐이크,11
봉봉,11
파스타,11
아기자기한,10
먹음,10
찍는,10
만족,10
마시고,10
있다면,10
감자,10
먹으러,10
부드럽고,10
스타일,10
후기,10
쥬스,10
강추,10
빈티,10
였습니다,10
감동,10
둘다,10
대기,10
큐브,10
지는,10
이유,10
이쁘고,10
보세요,10
좋음,10
했을,10
이건,10
공항,10
달지도,10
않아요,10
마셨는데,10
흑임자,10
그닥,10
시킨,10
였는데,10
되게,10
메뉴인,10
하다가,10
기도,10
니까,10
전망,10
외관,10
시럽,10
가성,10
조용한,10
스페셜,10
리치,10
식빵,10
천혜향,10
칵테일,10
평일,9
오후,9
드세요,9
엽서,9
없었다,9
좋아하시는,9
생선,9
일행,9
이었습니다,9
싶어서,9
실제,9
맛있지만,9
기본,9
밍밍,9
마셔,9
상태,9
친절하시고,9
신맛,9
플랫,9
건강한,9
높은,9
포인트,9
있으니,9
다녀왔어요,9
맛있었음,9
으로는,9
지역,9
이니,9
시장,9
이지,9
참고,9
적당한,9
있을,9
설명,9
마시면,9
컨셉,9
주고,9
타입,9
찍고,9
의미,9
임피,9
자연,9
전혀,9
관광객,9
정원,9
예뻐요,9
알았는데,9
않다,9
라벤더,9
많은데,9
보단,9
평범,9
한잔,9
레드,9
유리,9
보리,9
리조또,9
모카,9
마카롱,9
토핑,9
오래,8
다양한,8
먹으니,8
냄새,8
소스,8
찍어,8
구성,8
좋아해서,8
괜찮다,8
레이스,8
먹어야,8
수박,8
했음,8
있습니다,8
베이스,8
망플,8
성산,8
가볼만,8
옥상,8
않았다,8
넓은,8
수가,8
있었는데,8
재료,8
좋게,8
보는,8
버스,8
ㅋㅋㅋㅋㅋㅋ,8
길이,8
카페모카,8
없는데,8
본점,8
예전,8
강아지,8
않은데,8
쫀득,8
않을까,8
독특한,8
나무,8
시원한,8
거리,8
하여,8
가득,8
갔던,8
아아,8
크기,8
자주,8
한라산,8
가운데,8
포크,8
루프,8
배경,8
즐길,8
화장실,8
않는,8
식당,8
넘나,8
마신,8
갔더니,8
크게,8
조용히,8
올라간,8
이었던,8
실내,8
좋은데,8
해수욕장,8
아인슈페너,8
친절,8
도로,8
예약,8
괜찮았어요,8
당케,8
프라푸치노,8
벙커,8
였음,7
