형태소,빈도수
갈치,95
고기,78
너무,74
고기국수,58
방문,55
가격,55
맛집,53
조림,53
음식,50
국물,45
국수,45
식당,43
구이,42
먹어,39
몸국,36
메뉴,35
처음,35
고사리,34
주차,33
정말,31
추천,31
진짜,30
반찬,30
성게,29
비빔국수,28
주문,27
그냥,27
공항,24
근처,24
맛있어요,24
칼국수,24
식사,23
직원,23
미역국,23
고등어,23
우럭,23
해장국,22
돼지,22
서비스,22
웨이팅,22
육개장,21
맛있고,21
먹는,21
여행,21
가게,21
맛있게,21
대기,20
매우,20
아침,20
전복,20
ㅎㅎ,19
고등,19
최고,18
느낌,18
보말,18
먹기,17
많은,17
맛있음,17
밑반찬,17
먹었습니다,17
좋아요,16
먹었는데,16
유명한,15
맛있는,15
수육,15
좋았어요,15
가성,15
어회,15
손님,14
있습니다,14
테이블,14
김치,14
기분,14
엄청,14
별로,13
무료,13
합니다,13
맛있습니다,13
아주,13
맛있다,13
개인,12
가족,12
굉장히,12
특히,12
먹으면,11
주차장,11
좋았습니다,11
보통,11
같은,11
그릇,11
시장,11
먹은,11
맛있어서,11
전혀,11
튀김,11
입맛,10
위치,10
냄새,10
기억,10
깔끔한,10
좋음,10
맛있었어요,10
기본,10
자매,10
양념,10
편이,10
공기밥,10
인분,10
호불호,9
많아,9
부드럽고,9
육수,9
마지막,9
있어,9
예전,9
분위기,9
기대,9
돼지고기,9
쫄면,9
정식,9
바다,9
ㅠㅠ,9
볶음,9
맛있다고,8
해야,8
먹었어요,8
매콤,8
해장,8
않음,8
건물,8
일품,8
저녁,8
비싼,8
밀면,8
평가,7
유명,7
일반,7
가는,7
회전,7
의사,7
불구,7
먹다,7
필수,7
지인,7
같습니다,7
비추,7
시스템,7
양도,7
깔끔하고,7
사장,7
인기,7
제일,7
점심,7
만원,7
김치찌개,7
친절,7
전복죽,7
이전,7
세트,7
먼저,6
일찍,6
맛있었습니다,6
워낙,6
식감,6
넣어,6
죽이,6
빨리,6
코스,6
라서,6
친구,6
계속,6
보는,6
원래,6
상당히,6
없어서,6
또는,6
없음,6
서서,6
있어요,6
있지만,6
맛있네요,6
이집,6
베고,6
가서,6
전체,6
멸치,6
국밥,6
영업,6
환상,6
음식점,6
비빔,6
맛있었음,6
옥돔,6
시원한,6
메인,6
비린,6
육즙,6
물회,6
강추,6
모자반,6
였습니다,6
제대로,6
오픈,5
찾는,5
해도,5
전문점,5
야채,5
우진,5
강력,5
뚝배기,5
방송,5
서울,5
매워서,5
먹어도,5
사골,5
달라,5
도둑,5
적당히,5
공기,5
넣고,5
참고,5
마음,5
만족,5
맛있었고,5
됩니다,5
진하고,5
포장,5
상상,5
시원하고,5
괜찮은,5
후회,5
미리,5
금방,5
자주,5
주시,5
가야,5
물만두,5
기는,5
이유,5
먹을만,5
매운,5
동문,5
관광객,5
먹음,5
않은,5
먹으러,5
하네요,5
상태,5
절대,5
오랜,5
먹어서,5
좋습니다,5
서귀포,5
블로그,5
없다,5
크고,5
추가,5
지역,5
있었습니다,5
좋아하는,5
인생,5
감칠맛,5
재료,5
리필,5
시켜서,5
고집,5
낭푼밥,5
순대,5
두부,5
생선,5
사진,5
인테리어,5
부모님,5
같네요,5
상차림,5
완전,5
비빔밥,5
했을,4
가득,4
거부,4
이미,4
가장,4
하여,4
보지,4
자꾸,4
생각나는,4
접근성,4
젓가락,4
들리는,4
확장,4
미역,4
입구,4
무조건,4
없어요,4
크게,4
수도,4
드셔,4
듬뿍,4
청양고추,4
나옴,4
하며,4
먹게,4
번호,4
했더니,4
나쁘지,4
않아요,4
항상,4
맛있었다,4
불친절,4
가고,4
없습니다,4
시간대,4
평일,4
많아요,4
진한,4
확인,4
집은,4
이용,4
아쉬움,4
같고,4
겨울,4
먹었네요,4
차이,4
나고,4
넓고,4
삼겹살,4
먹었다,4
남자,4
설명,4
살짝,4
감동,4
중문,4
오시,4
비싸고,4
가시,4
ㅜㅜ,4
참기름,4
요미,4
뚝딱,4
비벼,4
좋았음,4
아침식사,4
다이닝,4
코드,4
평범,4
구워,4
연탄,4
비리,4
ㅋㅋ,4
아니고,4
어른,4
먹을수,4
하세요,4
인정,4
해초,4
먹었던,4
라면,4
새우,4
해녀,4
않아,4
냉면,4
고소하고,4
이며,4
수준,4
두루치기,4
해물탕,4
마리,4
기다리는,3
같은데,3
대한,3
기도,3
주위,3
치고,3
주고,3
유명해서,3
유명하지만,3
쫄깃,3
장이,3
왔을,3
달리,3
잘게,3
육계장,3
무척,3
인원,3
오래,3
되서,3
가까워서,3
익은,3
소고기,3
부드러움,3
좋아하시는,3
기다릴,3
좋더라구요,3
는걸,3
ㅎㅎㅎ,3
이야,3
거기,3
아는,3
주변,3
솔직히,3
이니,3
그건,3
보세요,3
번째,3
렌트,3
좋다,3
데리,3
걸죽,3
고기랑,3
런가,3
특유,3
모르겠다,3
비교,3
응대,3
나름,3
가능,3
일요일,3
먹으니,3
불리,3
고명,3
비행기,3
후기,3
연예인,3
지는,3
했네요,3
담백한,3
된다,3
싶지,3
평범한,3
야함,3
친절함,3
인근,3
덕분,3
친절하시고,3
대비,3
두껍고,3
의자,3
