접수일자,언어구분명,상담대분류명,상담중분류명,상담소분류명,상담키워드1순위명,상담키워드2순위명,상담키워드3순위명,상담키워드4순위명,상담키워드5순위명,상담유형명,여행목적명,경로명,고객성향명,채널구분명,통화구분명,상태명,수정일자,접수월,접수요일
2021-01-27,한국어,음식,음식,카페,무료,커피,,,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20210127,1,Wednesday
2021-01-27,한국어,음식,음식,카페,,,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20210127,1,Wednesday
2021-01-26,한국어,음식,음식,카페,김녕,금일 운영,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20210126,1,Tuesday
2021-01-15,한국어,음식,음식,카페,인원,요금,올티스,시음,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20210115,1,Friday
2021-01-19,한국어,음식,음식,일식,천제연,유선,문자,식당,인터넷,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20210119,1,Tuesday
2021-01-20,한국어,음식,음식,카페,체험,커피,수목원,제주,이용시간,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20210120,1,Wednesday
2021-01-05,한국어,음식,음식,향토음식,사전예약,식당,골목,골목식당,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20210105,1,Tuesday
2021-01-27,한국어,음식,음식,일식,용두암,유선,문자,인터넷,제주,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20210127,1,Wednesday
2021-01-19,한국어,음식,음식,향토음식,연락처,문자,대정,안덕,서귀포,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20210119,1,Tuesday
2021-01-26,한국어,음식,음식,카페,게스트하우스,김녕,카페,이용,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20210126,1,Tuesday
2021-02-23,한국어,음식,음식,양식,시내,제주,수제맥주,맥주,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20210223,2,Tuesday
2021-02-02,한국어,음식,음식,향토음식,해녀,용머리해안,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20210202,2,Tuesday
2021-02-02,한국어,음식,음식,향토음식,정방폭포,해녀,폭포,매표소,이용,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20210202,2,Tuesday
